,agencyId,id,propertyDetailsUrl,agencyName,agencyProfilePageUrl,agent,bathrooms,bedrooms,carspaces,postcode,propertyType,result,state,streetName,streetNumber,streetType,suburb,geoLocation.latitude,geoLocation.longitude,unitNumber,price
0,3355,2018025748,https://www.domain.com.au/186-gipps-street-abbotsford-vic-3067-2018025748,BigginScott Richmond,https://www.domain.com.au/real-estate-agencies/bigginscottrichmond-3355,B&S Richmond,2.0,3,1.0,3067,House,AUSP,Vic,Gipps,186,St,Abbotsford,-37.805117,144.9954571,,
1,3709,2018065944,https://www.domain.com.au/407-251-johnston-street-abbotsford-vic-3067-2018065944,Jellis Craig Fitzroy,https://www.domain.com.au/real-estate-agencies/jelliscraigfitzroy-3709,Jellis Craig Fitzroy,2.0,2,1.0,3067,Unit,AUSD,Vic,Johnston,251,St,Abbotsford,-37.800162,144.9947976,407,
2,4718,2018065051,https://www.domain.com.au/9b-valiant-street-abbotsford-vic-3067-2018065051,Nelson Alexander Fitzroy,https://www.domain.com.au/real-estate-agencies/nelsonalexanderfitzroy-4718,Nelson Alexander Commercial,1.0,2,1.0,3067,Townhouse,AUSD,Vic,Valiant,9B,St,Abbotsford,-37.8012173,144.9988142,,880000.0
3,21535,2018048235,https://www.domain.com.au/175-nicholson-street-abbotsford-vic-3067-2018048235,Jellis Craig Richmond & Surrounds,https://www.domain.com.au/real-estate-agencies/jelliscraigrichmondsurrounds-21535,Jellis Craig Richmond & Surrounds,2.0,5,0.0,3067,House,PTSD,Vic,Nicholson,175,St,Abbotsford,-37.803766,144.9967483,,
4,4722,2018027236,https://www.domain.com.au/51-green-street-airport-west-vic-3042-2018027236,Nelson Alexander Essendon,https://www.domain.com.au/real-estate-agencies/nelsonalexanderessendon-4722,Nelson Alexander Essendon,2.0,3,2.0,3042,House,PTSD,Vic,Green,51,St,Airport West,-37.7282168,144.8856075,,800000.0
5,23688,2018032782,https://www.domain.com.au/52-victory-road-airport-west-vic-3042-2018032782,Airport West Real Estate PTY Ltd,https://www.domain.com.au/real-estate-agencies/airportwestrealestateptyltd-23688,Airport West Real Estate,1.0,2,1.0,3042,House,PTSD,Vic,Victory,52,Rd,Airport West,-37.7180874,144.8872838,,800000.0
6,18211,2018065091,https://www.domain.com.au/9-herbert-place-albert-park-vic-3206-2018065091,Marshall White Port Phillip,https://www.domain.com.au/real-estate-agencies/marshallwhiteportphillip-18211,Marshall White - Port Phillip,1.0,2,0.0,3206,House,AUHB,Vic,Herbert,9,Pl,Albert Park,-37.8438639,144.958882,,1210000.0
7,20260,2018016758,https://www.domain.com.au/20-7-king-edward-avenue-albion-vic-3020-2018016758,Sweeney Estate Agents Sunshine,https://www.domain.com.au/real-estate-agencies/sweeneyestateagentssunshine-20260,Sweeney Estate Agents Sunshine,1.0,1,1.0,3020,Unit,PTSD,Vic,King Edward,7,Av,Albion,-37.782445,144.826264,20,188000.0
8,13411,2017873533,https://www.domain.com.au/16-beldi-street-alfredton-vic-3350-2017873533,Ballarat Real Estate,https://www.domain.com.au/real-estate-agencies/ballaratrealestate-13411,Ballarat Real Estate,2.0,4,2.0,3350,House,PTSD,Vic,Beldi,16,St,Alfredton,-37.5608684,143.7890162,,645000.0
9,5808,2018005077,https://www.domain.com.au/24-echo-place-alfredton-vic-3350-2018005077,PRDnationwide Ballarat,https://www.domain.com.au/real-estate-agencies/prdnationwideballarat-5808,PRD Ballarat,2.0,4,2.0,3350,House,PTSD,Vic,Echo,24,Pl,Alfredton,-37.5567306,143.7906384,,590000.0
10,13411,2018038691,https://www.domain.com.au/69-elaine-avenue-alfredton-vic-3350-2018038691,Ballarat Real Estate,https://www.domain.com.au/real-estate-agencies/ballaratrealestate-13411,Ballarat Real Estate,2.0,4,2.0,3350,House,PTSD,Vic,Elaine,69,Av,Alfredton,-37.5477596,143.794412,,685000.0
11,13411,2018009989,https://www.domain.com.au/8-prince-street-alfredton-vic-3350-2018009989,Ballarat Real Estate,https://www.domain.com.au/real-estate-agencies/ballaratrealestate-13411,Ballarat Real Estate,1.0,3,1.0,3350,House,PTSD,Vic,Prince,8,St,Alfredton,-37.5557112,143.8114595,,520000.0
12,5808,2018091371,https://www.domain.com.au/6-the-terrace-alfredton-vic-3350-2018091371,PRDnationwide Ballarat,https://www.domain.com.au/real-estate-agencies/prdnationwideballarat-5808,PRD Ballarat,2.0,4,2.0,3350,House,PTSD,Vic,The Terrace,6,,Alfredton,-37.5489321,143.7883912,,740000.0
13,6936,2017976553,https://www.domain.com.au/15a-victory-avenue-alfredton-vic-3350-2017976553,Jellis Craig Ballarat,https://www.domain.com.au/real-estate-agencies/jelliscraigballarat-6936,Jellis Craig Ballarat,2.0,3,2.0,3350,House,PTSD,Vic,Victory,15a,Av,Alfredton,-37.55422069999999,143.8092965,,575000.0
14,4586,2018046130,https://www.domain.com.au/10-rose-street-altona-vic-3018-2018046130,Ray White Altona,https://www.domain.com.au/real-estate-agencies/raywhitealtona-4586,Ray White Altona,2.0,4,8.0,3018,House,AUVB,Vic,Rose,10,St,Altona,-37.8709373,144.8194082,,
15,81,2018028580,https://www.domain.com.au/1-68-civic-parade-altona-vic-3018-2018028580,"Sweeney Altona, Altona Meadows & Altona North",https://www.domain.com.au/real-estate-agencies/sweeneyaltonaaltonameadowsaltonanorth-81,Sweeney Altona Altona Meadows & Altona North,1.0,3,1.0,3018,Unit,PTSD,Vic,Civic,68,Pde,Altona,-37.865335,144.837072,1,820000.0
16,11724,2017963483,https://www.domain.com.au/2-180-queen-street-altona-vic-3018-2017963483,Mancini Real Estate ,https://www.domain.com.au/real-estate-agencies/mancinirealestate-11724,Mancini Real Estate,1.0,2,1.0,3018,Unit,PTSD,Vic,Queen,180,St,Altona,-37.8706052,144.8228431,2,590000.0
17,1695,2018046369,https://www.domain.com.au/2-275-queen-street-altona-vic-3018-2018046369,Barlow McEwan Tribe Altona,https://www.domain.com.au/real-estate-agencies/barlowmcewantribealtona-1695,Barlow McEwan Tribe Altona,2.0,3,2.0,3018,Townhouse,PTSD,Vic,Queen,275,St,Altona,-37.87361629999999,144.8131835,2,775000.0
